cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,full_name,first_name,last_name
"SCHATZ, BRIAN",S4HI00136,S,HI,0,DEM,INCUMBENT,Brian Schatz,Brian,Schatz
"KOKOSKI, MICHAEL",S4HI00169,S,HI,,LIB,,Michael Kokoski,Michael,Kokoski
"KENNEDY, JOHN NEELY",S4LA00065,S,LA,0,REP,INCUMBENT,John Kennedy,John,Kennedy
"MCMORRIS, BRANNON L",S4LA00123,S,LA,,IND,,Brannon Mcmorris,Brannon,Mcmorris
"MARTIN, ANDY",S4NH00096,S,NH,0,REP,CHALLENGER,Andy Martin,Andy,Martin
"POLIAK, CARLO",S4NV00197,S,NV,,REP,CHALLENGER,Carlo Poliak,Carlo,Poliak
"LANKFORD, JAMES PAUL",S4OK00232,S,OK,0,REP,INCUMBENT,James Lankford,James,Lankford
"WOODS, RAY",S4OK00349,S,OK,,IND,,Ray Woods,Ray,Woods
"PERKINS, JO RAE",S4OR00156,S,OR,0,REP,CHALLENGER,Jo Rae Perkins,Jo Rae,Perkins
"VODVARKA, JOSEPH JOHN",S4PA00196,S,PA,0,REP,OPEN,Joseph John Vodvarka,Joseph John,Vodvarka
"SCOTT, TIMOTHY E.",S4SC00240,S,SC,0,REP,INCUMBENT,Tim Scott,Tim,Scott
"SAID, MOHAMMAD H.",S4WA00474,S,WA,0,DEM,CHALLENGER,Mohammad Said,Mohammad,Said
"BLATCHFORD, EDGAR",S6AK00177,S,AK,0,DEM,CHALLENGER,Edgar Blatchford,Edgar,Blatchford
"MAUL, LESTER 'SKIP' RALPH",S6AZ00282,S,AZ,,W,,Skip Maul,Skip,Maul
"AGBEDE, AKINYEMI",S6CA00634,S,CA,0,DEM,CHALLENGER,Akinyemi Agbede,Akinyemi,Agbede
"PIERCE, DOUGLAS HOWARD",S6CA00790,S,CA,0,DEM,CHALLENGER,Douglas Howard Pierce,Douglas Howard,Pierce
"PARKER, JOHN",S6CA00949,S,CA,,W,CHALLENGER,John Parker,John,Parker
"ELIZONDO, PAMELA",S6CA00956,S,CA,0,GRE,CHALLENGER,Pamela Elizondo,Pamela,Elizondo
"GARCIA, ELEANOR",S6CA00980,S,CA,0,NNE,CHALLENGER,Eleanor Garcia,Eleanor,Garcia
"WALLS-WINDHAUSER, ANGELA",S6FL00442,S,FL,0,REP,CHALLENGER,Angela Marie Walls-Windhauser,Angela Marie,Walls-Windhauser
"PIRKOWSKI, EDWARD (EDDIE)",S6HI00222,S,HI,,REP,,Eddie Pirkowski,Eddie,Pirkowski
"TATAII, STEVE",S6HI00230,S,HI,,DEM,,Steve Tataii,Steve,Tataii
"WRITZ, RAYMOND J",S6ID00104,S,ID,0,CON,CHALLENGER,Ray J. Writz,Ray,Writz
"DUCKWORTH, L. TAMMY",S6IL00292,S,IL,0,DEM,INCUMBENT,Tammy Duckworth,Tammy,Duckworth
"YOUNG, TODD CHRISTOPHER",S6IN00191,S,IN,0,REP,INCUMBENT,Todd Young,Todd,Young
"VAN HOLLEN, CHRIS",S6MD03441,S,MD,0,DEM,INCUMBENT,Chris Van Hollen,Chris,Van Hollen
"CHAFFEE, CHRIS",S6MD03557,S,MD,,REP,,Chris Chaffee,Chris,Chaffee
"MOWINSKI, BERNIE",S6MO00420,S,MO,,REP,,Bernie Mowinski,Bernie,Mowinski
