cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,full_name,first_name,last_name
"NAI, AKO",S2MD00610,S,MD,,DEM,,Ako Nai,Ako,Nai
"GRIFFIN, SCOTTIE JO DR.",S2MD00628,S,MD,0,DEM,,Scottie Jo Griffin,Scottie Jo,Griffin
"DAVIS, GEORGE",S2MD00636,S,MD,,REP,,George Davis,George,Davis
"PUGLISI, TODD A.",S2MD00644,S,MD,,REP,,Todd Puglisi,Todd,Puglisi
"BROWN, THEODIS SR",S2MO00122,S,MO,0,IND,,Theodis Brown,Theodis,Brown
"SHEPARD, TIMOTHY JACOB",S2MO00460,S,MO,0,DEM,OPEN,Timothy Jacob Shepard,Timothy Jacob,Shepard
"SIFTON, SCOTT MR.",S2MO00478,S,MO,0,DEM,OPEN,Scott Sifton,Scott,Sifton
"STRAUSS, NICHOLAS CRANE",S2MO00486,S,MO,0,UNK,OPEN,Nicholas Crane Strauss,Nicholas Crane,Strauss
"KELLY, JEWEL WILLIAM JR",S2MO00494,S,MO,0,DEM,OPEN,Jewel William Jr Kelly,Jewel William Jr,Kelly
"NICHOLAS CRANE, STRAUSS",S2MO00502,S,MO,0,,OPEN,Strauss Nicholas Crane,Strauss,Nicholas Crane
"BRINKMANN, JOHN MICHAEL",S2MO00510,S,MO,0,REP,OPEN,John Michael Brinkmann,John Michael,Brinkmann
"KUNCE, LUCAS",S2MO00528,S,MO,0,DEM,OPEN,Lucas Kunce,Lucas,Kunce
"GREITENS, ERIC",S2MO00536,S,MO,0,REP,OPEN,Eric Greitens,Eric,Greitens
"SCHMITT, ERIC",S2MO00544,S,MO,0,REP,OPEN,Eric Schmitt,Eric,Schmitt
"TODER, SPENCER ROSS",S2MO00551,S,MO,0,DEM,OPEN,Spencer Ross Toder,Spencer Ross,Toder
"PORTER, DESHON",S2MO00569,S,MO,0,REP,OPEN,Deshon Porter,Deshon,Porter
"MCQUEEN, ELDON DAN",S2MO00577,S,MO,0,REP,OPEN,Eldon Dan Mcqueen,Eldon Dan,Mcqueen
"MCCLOSKEY, MARK T",S2MO00585,S,MO,0,REP,OPEN,Mark Mccloskey,Mark,Mccloskey
"HARTZLER, VICKY J",S2MO00593,S,MO,0,REP,OPEN,Vicky Hartzler,Vicky,Hartzler
"PRICE, STEVEN CRAIG",S2MO00601,S,MO,0,IND,OPEN,Steven Craig Price,Steven Craig,Price
"SIMS, DAVID E. MR.",S2MO00627,S,MO,0,REP,OPEN,David Sims,David,Sims
"ALAM, MD RABBI DR",S2MO00635,S,MO,0,DEM,OPEN,Md Alam,Md,Alam
"SCHATZ, DAVE",S2MO00643,S,MO,0,REP,OPEN,Dave Schatz,Dave,Schatz
"ROSS, GENA DR.",S2MO00650,S,MO,0,DEM,OPEN,Gena Ross,Gena,Ross
"TUNNELL, LEONARD",S2MO00668,S,MO,0,REP,OPEN,Leonard Tunnell,Leonard,Tunnell
"HURLA, ANDREW",S2MO00676,S,MO,0,DEM,OPEN,Andrew Hurla,Andrew,Hurla
"ROLEN, LEWIS WARREN MR.",S2MO00684,S,MO,0,DEM,OPEN,Lewis Warren Rolen,Lewis Warren,Rolen
"BUSCH VALENTINE, TRUDY",S2MO00692,S,MO,0,DEM,OPEN,Trudy Busch Valentine,Trudy,Busch Valentine
"JOINER, RICKY",S2MO00700,S,MO,0,REP,OPEN,Ricky Joiner,Ricky,Joiner
"KELLY, PATRICK DANIEL",S2MO00718,S,MO,0,DEM,OPEN,Patrick Daniel Kelly,Patrick Daniel,Kelly
"LONG, BILLY",S2MO00726,S,MO,0,REP,,Billy Long,Billy,Long
"WOOD, JOHN FREDERICK",S2MO00734,S,MO,0,IND,,John Frederick Wood,John Frederick,Wood
"HARRIS, RONALD",S2MO00742,S,MO,,DEM,,Ronald Harris,Ronald,Harris
"SHIPP, JOSH",S2MO00759,S,MO,,DEM,,Josh Shipp,Josh,Shipp
"TAYLOR, CLARENCE (CLAY)",S2MO00767,S,MO,,DEM,,Clay Taylor,Clay,Taylor
"ALLEN, ROBERT",S2MO00775,S,MO,,REP,,Robert Allen,Robert,Allen
"BREYFOGLE, RUSSEL PEALER JR.",S2MO00783,S,MO,,REP,,Russel Pealer Jr. Breyfogle,Russel Pealer Jr.,Breyfogle
"CHILTON, DENNIS LEE",S2MO00791,S,MO,,REP,,Dennis Lee Chilton,Dennis Lee,Chilton
"GARDNER, C.W.",S2MO00809,S,MO,,REP,,C.W. Gardner,C.W.,Gardner
"MCCLANAHAN, DARRELL LEON III",S2MO00817,S,MO,,REP,,Darrell Leon III McClanahan,Darrell Leon III,McClanahan
"MCELROY, ERIC",S2MO00825,S,MO,,REP,,Eric Mcelroy,Eric,Mcelroy
"OLSON, ROBERT",S2MO00833,S,MO,,REP,,Robert Olson,Robert,Olson
"SCHEPERS, KEVIN C.",S2MO00841,S,MO,,REP,,Kevin Schepers,Kevin,Schepers
"VAUGHN, CURTIS D.",S2MO00858,S,MO,,REP,,Curtis Vaughn,Curtis,Vaughn
"VENABLE, PAUL",S2MO00866,S,MO,,CON,,Paul Venable,Paul,Venable
"BRIAN, LEE ANDREA MS",S2NC00273,S,NC,0,REP,OPEN,Lee Andrea Brian,Lee Andrea,Brian
"RORIE, WINTER MS",S2NC00281,S,NC,0,DEM,CHALLENGER,Winter Rorie,Winter,Rorie
"BOYETTE, HAYDEN ZEL MR NONE",S2NC00299,S,NC,0,IND,OPEN,Hayden Zel None Boyette,Hayden Zel None,Boyette
"WALKER, BRADLEY MARK",S2NC00307,S,NC,0,REP,OPEN,Bradley Mark Walker,Bradley Mark,Walker
"DAVENPORT, KEITH",S2NC00331,S,NC,0,DEM,OPEN,Keith Davenport,Keith,Davenport
"BORGHESE, RENE",S2NC00349,S,NC,0,REP,OPEN,Rene Borghese,Rene,Borghese
"JACKSON, JEFF",S2NC00356,S,NC,0,DEM,OPEN,Jeff Jackson,Jeff,Jackson
"ELLERBY, CARLTON",S2NC00364,S,NC,0,REP,OPEN,Carlton Ellerby,Carlton,Ellerby
"EDWARDS, AVA MARIE",S2NC00372,S,NC,0,DEM,OPEN,Ava Marie Edwards,Ava Marie,Edwards
"GAGHAN, JAMES M",S2NC00380,S,NC,0,REP,OPEN,James Gaghan,James,Gaghan
"LAGRONE, TOBIAS EVERETT DR.",S2NC00398,S,NC,0,DEM,OPEN,Tobias Everett Lagrone,Tobias Everett,Lagrone
"WATKINS, RICHARD LEE DR.",S2NC00406,S,NC,0,DEM,OPEN,Richard Lee Watkins,Richard Lee,Watkins
"RHOADS, CHRISTINA",S2NC00414,S,NC,0,REP,CHALLENGER,Christina Rhoads,Christina,Rhoads
"RHINEHARDT, KIMREY WOODARD MRS.",S2NC00422,S,NC,0,UN,OPEN,Kimrey Woodards. Rhinehardt,Kimrey Woodards.,Rhinehardt
"HAMRICK, JENNA",S2NC00430,S,NC,0,DEM,OPEN,Jenna Hamrick,Jenna,Hamrick
"GRIFFITHS, BENJAMIN",S2NC00448,S,NC,0,REP,OPEN,Benjamin Griffiths,Benjamin,Griffiths
"LANEY RODRIGUEZ, BRENDA",S2NC00463,S,NC,0,IND,OPEN,Brenda Laney Rodriguez,Brenda,Laney Rodriguez
"NEWTON, EVERETTE (RETT) S.",S2NC00471,S,NC,0,DEM,OPEN,Rett Newton,Rett,Newton
"MCCRORY, PATRICK LLOYD",S2NC00489,S,NC,0,REP,OPEN,Patrick Lloyd Mccrory,Patrick Lloyd,Mccrory
"BEASLEY, CHERI",S2NC00497,S,NC,0,DEM,OPEN,Cheri Beasley,Cheri,Beasley
"BUDD, THEODORE P",S2NC00505,S,NC,0,REP,OPEN,Theodore Budd,Theodore,Budd
"BANWART, JENNIFER ALEXIS",S2NC00513,S,NC,0,REP,OPEN,Jennifer Alexis Banwart,Jennifer Alexis,Banwart
"HARPER JR., KENNETH JABARI",S2NC00521,S,NC,0,REP,OPEN,Kenneth Jabari Harper Jr.,Kenneth Jabari,Harper Jr.
"COOKE, JOHN MARTIN MR. JR.",S2NC00539,S,NC,0,REP,OPEN,John Martin Jr. Cooke,John Martin Jr.,Cooke
"SIBHATU, LICHIA WOLDEGABREAL",S2NC00547,S,NC,0,REP,OPEN,Lichia Woldegabreal Sibhatu,Lichia Woldegabreal,Sibhatu
"BOOKER, PATRICE CHRELLE",S2NC00554,S,NC,0,DEM,OPEN,Patrice Chrelle Booker,Patrice Chrelle,Booker
"HOH, MATTHEW PATRICK MR",S2NC00562,S,NC,0,GRE,OPEN,Matthew Patrick Hoh,Matthew Patrick,Hoh
"CARR, JAMES LESTER MR. JR.",S2NC00570,S,NC,0,DEM,OPEN,James Lester Jr. Carr,James Lester Jr.,Carr
"EASTMAN, MAJORIE K",S2NC00588,S,NC,0,REP,OPEN,Majorie Eastman,Majorie,Eastman
"BRYANT, LEONARD L",S2NC00596,S,NC,0,REP,OPEN,Leonard Bryant,Leonard,Bryant
"BULECZA, ANDREW JOHN MR. 3RD",S2NC00604,S,NC,0,REP,OPEN,Andrew John 3Rd Bulecza,Andrew John 3Rd,Bulecza
"MOSS, CHARLES KENNETH",S2NC00612,S,NC,0,REP,OPEN,Charles Kenneth Moss,Charles Kenneth,Moss
"JOHNSON, CONSTANCE LOV",S2NC00620,S,NC,0,DEM,OPEN,Constance Lov Johnson,Constance Lov,Johnson
"SHARMA, SIDDHANTH",S2NC00646,S,NC,0,REP,OPEN,Siddhanth Sharma,Siddhanth,Sharma
"WARREN, JONATHAN II",S2NC00653,S,NC,0,REP,OPEN,Jonathan II Warren,Jonathan II,Warren
"WHITE, MARC MICHAEL",S2NC00661,S,NC,0,UN,OPEN,Marc Michael White,Marc Michael,White
"LEWIS, MICHELLE ESTELLE",S2NC00679,S,NC,0,UN,OPEN,Michelle Estelle Lewis,Michelle Estelle,Lewis
"MCBRIDE, LEN MCBRIDE",S2NC00703,S,NC,0,REP,OPEN,Len Mcbride Mcbride,Len Mcbride,Mcbride
"ANTOINE, GREGORY DR.",S2NC00711,S,NC,0,DEM,OPEN,Gregory Antoine,Gregory,Antoine
"MAGINNIS, BRENDAN",S2NC00729,S,NC,0,DEM,OPEN,Brendan Maginnis,Brendan,Maginnis
"HAMMOND, ALYSSIA ROSE-KATHERINE",S2NC00737,S,NC,0,DEM,OPEN,Alyssia Rose-Katherine Hammond,Alyssia Rose-Katherine,Hammond
"COLON, ROBERT",S2NC00745,S,NC,,DEM,OPEN,Robert Colon,Robert,Colon
"FLAHERTY, DAVID",S2NC00752,S,NC,,REP,OPEN,David Flaherty,David,Flaherty
"TSHIOVO, DEBORA",S2NC00760,S,NC,,REP,OPEN,Debora Tshiovo,Debora,Tshiovo
"GADDY, SUSAN",S2NC00778,S,NC,0,REP,,Susan Gaddy,Susan,Gaddy
"STEELE, MICHAEL REVEREND",S2ND00107,S,ND,0,DEM,CHALLENGER,Michael Steele,Michael,Steele
"CHRISTIANSEN, KATRINA",S2ND00123,S,ND,0,DEM,CHALLENGER,Katrina Christiansen,Katrina,Christiansen
"KUNTZ, RILEY",S2ND00131,S,ND,0,REP,CHALLENGER,Riley Kuntz,Riley,Kuntz
"BECKER, RICK CLARK",S2ND00149,S,ND,0,IND,CHALLENGER,Rick Clark Becker,Rick Clark,Becker
"SIVALINGAM, TEJASINHA",S2NH00207,S,NH,0,REP,CHALLENGER,Tejasinha Sivalingam,Tejasinha,Sivalingam
"LAMARE, DENNIS R",S2NH00215,S,NH,0,REP,CHALLENGER,Dennis Lamare,Dennis,Lamare
"LAPLANTE, EDMOND JOSEPH JR",S2NH00223,S,NH,0,RNC,CHALLENGER,Edmond Joseph Jr Laplante,Edmond Joseph Jr,Laplante
"SMITH, KEVIN H.",S2NH00231,S,NH,0,REP,CHALLENGER,Kevin Smith,Kevin,Smith
"MORSE, CHUCK",S2NH00249,S,NH,0,REP,CHALLENGER,Chuck Morse,Chuck,Morse
"KAUFFMAN, JEREMY",S2NH00256,S,NH,0,LIB,CHALLENGER,Jeremy Kauffman,Jeremy,Kauffman
"SHARPE, THOMAS V",S2NH00264,S,NH,0,OTH,CHALLENGER,Thomas Sharpe,Thomas,Sharpe
"MANSHARAMANI, VIKRAM",S2NH00272,S,NH,0,REP,CHALLENGER,Vikram Mansharamani,Vikram,Mansharamani
"FENTON, BRUCE",S2NH00280,S,NH,,REP,CHALLENGER,Bruce Fenton,Bruce,Fenton
"BERMAN, JOHN",S2NH00298,S,NH,0,REP,,John Berman,John,Berman
"KAHN, KEVIN",S2NH00306,S,NH,0,LIB,,Kevin Kahn,Kevin,Kahn
"RIGGIERI, JOHN",S2NH00314,S,NH,,DEM,,John Riggieri,John,Riggieri
"GRIFFIN, PETER JOHN",S2NV00282,S,NV,0,COM,CHALLENGER,Peter John Griffin,Peter John,Griffin
"MENDENHALL, SHARELLE",S2NV00290,S,NV,0,REP,CHALLENGER,Sharelle Mendenhall,Sharelle,Mendenhall
"BROWN, SAM",S2NV00308,S,NV,0,REP,CHALLENGER,Sam Brown,Sam,Brown
"LOWE, GRETCHEN RAE",S2NV00316,S,NV,0,NPA,CHALLENGER,Gretchen Rae Lowe,Gretchen Rae,Lowe
"LAXALT, ADAM",S2NV00324,S,NV,0,REP,CHALLENGER,Adam Laxalt,Adam,Laxalt
"HOCKSTEDLER, WILLIAM ERIC",S2NV00332,S,NV,0,REP,CHALLENGER,William Eric Hockstedler,William Eric,Hockstedler
"DESTIN, JOSEPH J",S2NV00340,S,NV,0,NPA,CHALLENGER,Joseph Destin,Joseph,Destin
"REID, COREY",S2NV00357,S,NV,,DEM,CHALLENGER,Corey Reid,Corey,Reid
"RODRIGUEZ, PAUL M.F.",S2NV00365,S,NV,0,REP,CHALLENGER,Paul Rodriguez,Paul,Rodriguez
"KASHETA, STEPHANIE",S2NV00373,S,NV,,DEM,,Stephanie Kasheta,Stephanie,Kasheta
"REHINHART, ALLEN",S2NV00381,S,NV,,DEM,,Allen Rehinhart,Allen,Rehinhart
"CONRAD, WILLIAM 'BILL'",S2NV00399,S,NV,,REP,,Bill Conrad,Bill,Conrad
"PERKINS, TYLER T",S2NV00407,S,NV,,REP,,Tyler Perkins,Tyler,Perkins
"LINDEMANN, BARRY",S2NV00415,S,NV,0,UN,CHALLENGER,Barry Lindemann,Barry,Lindemann
"SARE, DIANE WILSON MS",S2NY00325,S,NY,0,IND,CHALLENGER,Diane Wilson Sare,Diane Wilson,Sare
"MANTANONA, NICHOLAS MR",S2NY00333,S,NY,0,IND,CHALLENGER,Nicholas Mantanona,Nicholas,Mantanona
"ANABILAH-AZUMAH, JOEL MR",S2NY00341,S,NY,0,NPA,CHALLENGER,Joel Anabilah-Azumah,Joel,Anabilah-Azumah
"MUGULUSI, MOSES R",S2NY00366,S,NY,0,DEM,CHALLENGER,Moses Mugulusi,Moses,Mugulusi
"BEN-AVI, TYRRELL LEV",S2NY00374,S,NY,13,REP,CHALLENGER,Tyrrell Lev Ben-Avi,Tyrrell Lev,Ben-Avi
"SAIDE, AHMAD DR",S2NY00408,S,NY,0,NNE,CHALLENGER,Ahmad Saide,Ahmad,Saide
"EISEN, JOSHUA DR",S2NY00416,S,NY,0,REP,CHALLENGER,Joshua Eisen,Joshua,Eisen
"CUOMO, ANDREA J.",S2NY00424,S,NY,0,COM,CHALLENGER,Andrea Cuomo,Andrea,Cuomo
"OCASIO-CORTEZ, ALEXANDRIA",S2NY00432,S,NY,0,DEM,CHALLENGER,Alexandria Ocasio-Cortez,Alexandria,Ocasio-Cortez
"MICI, ALEKSANDER",S2NY00440,S,NY,0,REP,CHALLENGER,Aleksander Mici,Aleksander,Mici
"BAKISH, ROBERT MARC MR",S2NY00457,S,NY,0,REP,CHALLENGER,Robert Marc Bakish,Robert Marc,Bakish
"NASCIMBENE, LUCA",S2NY00465,S,NY,0,W,CHALLENGER,Luca Nascimbene,Luca,Nascimbene
"SZUSZKIEWICZ, MARK",S2NY00473,S,NY,0,REP,CHALLENGER,Mark Szuszkiewicz,Mark,Szuszkiewicz
"AHMED, MOHAMMAD MOKHTAR",S2NY00481,S,NY,0,VET,CHALLENGER,Mohammad Mokhtar Ahmed,Mohammad Mokhtar,Ahmed
"PINION, JOSEPH III",S2NY00499,S,NY,0,REP,CHALLENGER,Joseph III Pinion,Joseph III,Pinion
"MASTERSON, WALTER JOSEPH",S2NY00507,S,NY,0,OTH,CHALLENGER,Walter Joseph Masterson,Walter Joseph,Masterson
"ALEXANDER, VIVIKA",S2NY00515,S,NY,0,GOP,CHALLENGER,Vivika Alexander,Vivika,Alexander
"QUITER, THOMAS",S2NY00523,S,NY,0,LIB,CHALLENGER,Thomas Quiter,Thomas,Quiter
"HILL, BRYAN",S2NY00531,S,NY,0,REP,,Bryan Hill,Bryan,Hill
"MANDEL, JOSHUA A.",S2OH00170,S,OH,0,REP,OPEN,Joshua Mandel,Joshua,Mandel
"LACAVERA, DOMINIC JAMES JR.",S2OH00279,S,OH,0,LIB,OPEN,Dominic James Jr. Lacavera,Dominic James Jr.,Lacavera
"PUKITA, MARK MR.",S2OH00287,S,OH,0,REP,OPEN,Mark Pukita,Mark,Pukita
"TAYLOR, SHANNON MARIE",S2OH00295,S,OH,0,LIB,OPEN,Shannon Marie Taylor,Shannon Marie,Taylor
"MOUSOURAKIS, SHAWN",S2OH00303,S,OH,0,VET,OPEN,Shawn Mousourakis,Shawn,Mousourakis
"MUSICK, ZACHARY THOMAS HOWARD",S2OH00311,S,OH,0,REP,OPEN,Zachary Thomas Howard Musick,Zachary Thomas Howard,Musick
"LEIPOLD, MICHAEL D MR. SR.",S2OH00329,S,OH,0,REP,OPEN,Michael Sr. Leipold,Michael Sr.,Leipold
"MEIRING, ERIC RICHARD REVEREND",S2OH00337,S,OH,0,IND,OPEN,Eric Richard Reverend Meiring,Eric Richard Reverend,Meiring
"PATEL, NIRANJAN NEIL",S2OH00345,S,OH,0,REP,OPEN,Niranjan Neil Patel,Niranjan Neil,Patel
"THOMPSON, MACKENZIE",S2OH00352,S,OH,0,REP,OPEN,Mackenzie Thompson,Mackenzie,Thompson
"TIMKEN, JANE",S2OH00360,S,OH,0,REP,OPEN,Jane Timken,Jane,Timken
"TAYLOR, RICHARD T",S2OH00378,S,OH,0,DEM,OPEN,Richard Taylor,Richard,Taylor
"MORENO, BERNIE",S2OH00386,S,OH,0,REP,OPEN,Bernie Moreno,Bernie,Moreno
"RYAN, TIMOTHY",S2OH00402,S,OH,0,DEM,OPEN,Timothy Ryan,Timothy,Ryan
"RONAN, SAMUEL",S2OH00410,S,OH,0,IND,OPEN,Samuel Ronan,Samuel,Ronan
"SHEFFEY, DEMAR",S2OH00428,S,OH,0,DEM,OPEN,Demar Sheffey,Demar,Sheffey
"VANCE, J D",S2OH00436,S,OH,0,REP,OPEN,J D Vance,J D,Vance
"REED, JOHN ALLEN",S2OH00444,S,OH,0,REP,OPEN,John Allen Reed,John Allen,Reed
"HOLT, MIKE",S2OH00451,S,OH,0,REP,OPEN,Mike Holt,Mike,Holt
"HARPER, MORGAN",S2OH00469,S,OH,0,DEM,OPEN,Morgan Harper,Morgan,Harper
"DOLAN, MATT",S2OH00477,S,OH,0,REP,OPEN,Matt Dolan,Matt,Dolan
"TINSLEY, LASHONDRA",S2OH00493,S,OH,0,DEM,OPEN,Lashondra Tinsley,Lashondra,Tinsley
"PRATHER, KELLI",S2OH00519,S,OH,0,IND,OPEN,Kelli Prather,Kelli,Prather
"GRAHAM, ROBERT WILLIAM",S2OH00527,S,OH,0,W,OPEN,Robert William Graham,Robert William,Graham
"TAYLOR, CHAD ALAN",S2OH00535,S,OH,0,W,OPEN,Chad Alan Taylor,Chad Alan,Taylor
"JOHNSON, TRACI TJ",S2OH00543,S,OH,,DEM,OPEN,Traci TJ Johnson,Traci TJ,Johnson
"LAHMEYER, JACKSON RHODES",S2OK00111,S,OK,0,REP,CHALLENGER,Jackson Rhodes Lahmeyer,Jackson Rhodes,Lahmeyer
"FARR, JOAN E. MS.",S2OK00129,S,OK,0,REP,CHALLENGER,Joan E. Farr,Joan E.,Farr
"BOLLINGER, JASON",S2OK00137,S,OK,0,DEM,CHALLENGER,Jason Bollinger,Jason,Bollinger
"DAHM, NATHAN",S2OK00145,S,OK,0,REP,CHALLENGER,Nathan Dahm,Nathan,Dahm
"HORN, MADISON",S2OK00152,S,OK,0,DEM,CHALLENGER,Madison Horn,Madison,Horn
"GARRISON, JESSICA JEAN",S2OK00160,S,OK,0,REP,CHALLENGER,Jessica Jean Garrison,Jessica Jean,Garrison
"GLENN, JO STANLEY MS",S2OK00178,S,OK,0,DEM,CHALLENGER,Jo Stanley Glenn,Jo Stanley,Glenn
"MULLIN, MARKWAYNE",S2OK00186,S,OK,0,REP,CHALLENGER,Markwayne Mullin,Markwayne,Mullin
"HOLLAND, LUCAS",S2OK00194,S,OK,0,REP,CHALLENGER,Lucas Holland,Lucas,Holland
"GRAY, ALEX",S2OK00202,S,OK,0,REP,CHALLENGER,Alex Gray,Alex,Gray
"SHANNON, T.W.",S2OK00210,S,OK,0,REP,CHALLENGER,T.W. Shannon,T.W.,Shannon
"HORN, KENDRA",S2OK00228,S,OK,0,DEM,CHALLENGER,Kendra Horn,Kendra,Horn
"BLEVINS, KENNETH",S2OK00236,S,OK,0,LIB,CHALLENGER,Kenneth Blevins,Kenneth,Blevins
"HOLLEY, ADAM",S2OK00244,S,OK,0,REP,CHALLENGER,Adam Holley,Adam,Holley
"GRELLNER, RANDY J.",S2OK00251,S,OK,0,REP,CHALLENGER,Randy J. Grellner,Randy J.,Grellner
"BAKER, DENNIS",S2OK00269,S,OK,0,DEM,CHALLENGER,Dennis Baker,Dennis,Baker
"PRUITT, SCOTT",S2OK00277,S,OK,0,REP,CHALLENGER,Scott Pruitt,Scott,Pruitt
"WADE, BRANDON KEITH",S2OK00285,S,OK,0,DEM,CHALLENGER,Brandon Keith Wade,Brandon Keith,Wade
"COIBION, MICHAEL",S2OK00293,S,OK,,REP,,Michael Coibion,Michael,Coibion
"MORENO, LAURA",S2OK00301,S,OK,,REP,,Laura Moreno,Laura,Moreno
"ROYSE, PAUL",S2OK00319,S,OK,,REP,,Paul Royse,Paul,Royse
"AZMA, ARYA",S2OK00327,S,OK,,DEM,,Arya Azma,Arya,Azma
"DELANEY, MICHAEL L",S2OK00335,S,OK,,IND,,Michael Delaney,Michael,Delaney
"BARLOW, WILLIAM EDWARD MR. III",S2OR00127,S,OR,0,DEM,CHALLENGER,William Edward III Barlow,William Edward III,Barlow
"BEEBE, RODNEY JASON",S2OR00135,S,OR,0,REP,CHALLENGER,Rodney Jason Beebe,Rodney Jason,Beebe
"VERDE, THOMAS X TXV",S2OR00143,S,OR,0,UN,CHALLENGER,Thomas Verde,Thomas,Verde
"PALMER, SAMUEL",S2OR00150,S,OR,0,REP,CHALLENGER,Samuel Palmer,Samuel,Palmer
"HARBICK, DARIN",S2OR00168,S,OR,0,REP,CHALLENGER,Darin Harbick,Darin,Harbick
"PULJU, DAN",S2OR00176,S,OR,0,GRE,CHALLENGER,Dan Pulju,Dan,Pulju
"CHRISTENSEN, CHRIS",S2OR00184,S,OR,0,REP,CHALLENGER,Chris Christensen,Chris,Christensen
"STETTLER, MICHAEL KURT",S2OR00192,S,OR,0,CON,CHALLENGER,Michael Kurt Stettler,Michael Kurt,Stettler
"MURPHY, ROBERT MURPHY",S2OR00218,S,OR,0,LIB,CHALLENGER,Robert Murphy Murphy,Robert Murphy,Murphy
"FLEMING, ROBERT M",S2OR00226,S,OR,,REP,CHALLENGER,Robert Fleming,Robert,Fleming
"HENRY, CHRIS",S2OR00234,S,OR,,PRO,CHALLENGER,Chris Henry,Chris,Henry
"ESSOE, KELLEY M MS",S2OR00242,S,OR,0,DEM,,Kelley Essoe,Kelley,Essoe
"MCGUIGAN, JOHN DAVID",S2PA00307,S,PA,0,DEM,OPEN,John David Mcguigan,John David,Mcguigan
"STERN, EVERETT",S2PA00315,S,PA,0,IND,OPEN,Everett Stern,Everett,Stern
"DEBELLIS, JOHN",S2PA00323,S,PA,0,REP,CHALLENGER,John Debellis,John,Debellis
"ROSENFELD, MARTIN",S2PA00331,S,PA,0,REP,OPEN,Martin Rosenfeld,Martin,Rosenfeld
"NORTON, KYLE CHRISTOPHER",S2PA00349,S,PA,0,DEM,OPEN,Kyle Christopher Norton,Kyle Christopher,Norton
"MULHOLLAND, RICHARD",S2PA00356,S,PA,0,REP,OPEN,Richard Mulholland,Richard,Mulholland
"JOHNSON, LARRY E DR",S2PA00364,S,PA,0,DEM,OPEN,Larry Johnson,Larry,Johnson
"GALE, SEAN",S2PA00372,S,PA,0,REP,OPEN,Sean Gale,Sean,Gale
"KENYATTA, MALCOLM",S2PA00398,S,PA,0,DEM,OPEN,Malcolm Kenyatta,Malcolm,Kenyatta
"KHALIL, ALEXANDRIA GLORIA",S2PA00406,S,PA,0,DEM,OPEN,Alexandria Gloria Khalil,Alexandria Gloria,Khalil
"DUCH, WILLIAM RAYMOND",S2PA00414,S,PA,0,REP,OPEN,William Raymond Duch,William Raymond,Duch
"SHANK, ALAN MICHAEL",S2PA00422,S,PA,0,DEM,OPEN,Alan Michael Shank,Alan Michael,Shank
"STREET, SHARIF",S2PA00448,S,PA,0,DEM,OPEN,Sharif Street,Sharif,Street
"BAUMLIN, KEVIN DR.",S2PA00455,S,PA,0,DEM,OPEN,Kevin Baumlin,Kevin,Baumlin
"ARKOOSH, VALERIE",S2PA00463,S,PA,0,DEM,OPEN,Valerie Arkoosh,Valerie,Arkoosh
"JEFFRIES, ROBERT",S2PA00471,S,PA,0,REP,OPEN,Robert Jeffries,Robert,Jeffries
"BARNETTE, KATHY",S2PA00489,S,PA,0,REP,OPEN,Kathy Barnette,Kathy,Barnette
"HAYES, JAMES EDWARD",S2PA00497,S,PA,0,REP,OPEN,James Edward Hayes,James Edward,Hayes
"PARNELL, RICHARD SEAN",S2PA00505,S,PA,0,REP,OPEN,Richard Sean Parnell,Richard Sean,Parnell
"JOHNSON, RONALD EDWARD MR II",S2PA00513,S,PA,0,CON,OPEN,Ronald Edward II Johnson,Ronald Edward II,Johnson
"TAPERA, LLEWELLYN MR.",S2PA00521,S,PA,0,DEM,OPEN,Llewellyn Tapera,Llewellyn,Tapera
"SNYDER, CRAIG",S2PA00539,S,PA,0,REP,OPEN,Craig Snyder,Craig,Snyder
"ORTS, ERIC",S2PA00547,S,PA,0,DEM,OPEN,Eric Orts,Eric,Orts
"SANDS, CARLA H",S2PA00554,S,PA,0,REP,OPEN,Carla Sands,Carla,Sands
"LAMB, CONOR",S2PA00562,S,PA,0,DEM,OPEN,Conor Lamb,Conor,Lamb
"XU, DAVID",S2PA00570,S,PA,0,REP,OPEN,David Xu,David,Xu
"DOUGHERTY, KAEL",S2PA00596,S,PA,0,DEM,OPEN,Kael Dougherty,Kael,Dougherty
"CRUZ, ISRAEL",S2PA00604,S,PA,0,REP,OPEN,Israel Cruz,Israel,Cruz
"SLUZYNSKY, WALTER STEVE MR.",S2PA00612,S,PA,17,DEM,OPEN,Walter Steve Sluzynsky,Walter Steve,Sluzynsky
"RICHARDSON, MAX",S2PA00620,S,PA,0,REP,OPEN,Max Richardson,Max,Richardson
"OZ, MEHMET DR",S2PA00638,S,PA,0,REP,OPEN,Mehmet Oz,Mehmet,Oz
"EICHENBERG, JOHN ROBERT MR.",S2PA00646,S,PA,0,REP,OPEN,John Robert Eichenberg,John Robert,Eichenberg
"FUSCA, VINCENT EMAUELE MR",S2PA00653,S,PA,0,REP,OPEN,Vincent Emauele Fusca,Vincent Emauele,Fusca
