YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
1986,Wyoming,WY,168615,164720,334385,1.0%,861,"1,840",337,"2,118",,"328,923",51.26%,50.43%
1984,United States,,,92652680,173994610,4.3%,"454,092","1,012,936","204,686","1,165,246","2,360,867","167,708,463",,
1984,Alabama,AL,,1441713,2867180,0.5%,"10,482","16,338","2,194","20,845",,"2,831,999",,
1984,Alaska,AK,213173,207605,354410,2.3%,"1,967","2,064",147,"3,146",,"343,113",62.13%,60.15%
1984,Arizona,AZ,1051339,1025897,2263826,4.2%,"7,845","16,687","1,660","17,849",,"2,150,896",48.88%,46.44%
1984,Arkansas,AR,,884406,1689480,0.5%,"4,482","8,238","3,463","12,064",,"1,668,969",,
1984,California,CA,9796375,9505423,19270739,13.4%,"43,197",0,"30,645","73,842",,"16,614,618",58.96%,50.84%
1984,Colorado,CO,1343437,1295380,2325829,2.3%,"3,231",0,"1,709","4,940",,"2,267,395",59.25%,57.76%
1984,Connecticut,CT,1490946,1466900,2431057,4.1%,"5,718","46,681",868,"29,927",,"2,301,457",64.78%,61.33%
1984,Delaware,DE,258182,254572,455312,1.5%,"2,202","6,373",830,"6,219",,"442,263",58.38%,56.70%
1984,District of Columbia,DC,219193,211288,505550,5.8%,"4,521",0,0,"4,521",,"471,707",46.47%,43.36%
1984,Florida,FL,,4180051,8656427,6.8%,"26,914","118,318","5,661","91,734",,"7,976,056",,
1984,Georgia,GA,,1776120,4243165,1.3%,"15,404","90,057","7,246","67,679",,"4,120,325",,
1984,Hawaii,HI,349253,335846,750909,7.3%,"1,965",0,0,"1,965",,"694,128",50.32%,46.51%
1984,Idaho,ID,421935,411144,675772,1.7%,"1,253",0,0,"1,253",,"663,031",63.64%,62.44%
1984,Illinois,IL,4969352,4819088,8327065,4.7%,"17,114",0,0,"17,114",,"7,918,579",62.76%,59.68%
1984,Indiana,IN,2268493,2233069,3960870,0.9%,"9,328",0,0,"9,328",,"3,915,894",57.93%,57.27%
1984,Iowa,IA,1339886,1319805,2084995,0.8%,"2,836","11,924","1,662","10,460",,"2,057,855",65.11%,64.26%
1984,Kansas,KS,,1021991,1779487,1.3%,"4,244",0,0,"4,244",,"1,752,110",,
1984,Kentucky,KY,,1369345,2672424,0.5%,"4,820","15,004","3,567","15,889",,"2,643,173",,
1984,Louisiana,LA,,1706822,3072074,1.3%,"13,659",0,0,"13,659",,"3,018,478",,
1984,Maine,ME,,553144,852022,1.4%,0,0,0,0,,"840,094",,
1984,Maryland,MD,1695924,1675873,3278321,3.4%,"13,124","64,827","7,046","52,584",,"3,114,274",54.46%,51.73%
1984,Massachusetts,MA,2595054,2559453,4486676,4.8%,0,0,0,0,,"4,271,316",60.76%,57.84%
1984,Michigan,MI,3884854,3801658,6550877,2.0%,"14,604",0,0,"14,604",,"6,405,255",60.65%,59.30%
1984,Minnesota,MN,2115317,2084449,3039490,1.3%,"2,167","31,440","1,418","19,305",,"2,980,672",70.97%,69.59%
1984,Mississippi,MS,,941104,1787243,0.5%,"6,115","6,570","3,108","12,508",,"1,765,799",,
1984,Missouri,MO,,2122783,3671506,0.8%,"8,770","23,574","4,366","24,923",,"3,617,211",,
1984,Montana,MT,395006,384377,584162,0.7%,964,0,0,964,,"579,109",68.21%,67.62%
1984,Nebraska,NE,670781,652090,1152310,0.9%,"1,665","10,763",361,"7,408",,"1,134,531",59.12%,58.21%
1984,Nevada,NV,294413,286667,697185,4.7%,"3,488","5,226","1,187","7,288",,"657,129",44.80%,42.23%
1984,New Hampshire,NH,406608,388904,732480,1.8%,581,0,0,581,,"718,714",56.57%,55.51%
1984,New Jersey,NJ,3215941,3217862,5699440,5.9%,"10,363","44,208","12,206","44,673",,"5,318,500",60.47%,56.43%
1984,New Mexico,NM,522328,514370,990632,2.9%,"2,129","3,926","1,194","5,286",,"956,618",54.60%,52.73%
1984,New York,NY,7000828,6806810,13373558,8.1%,"33,109",0,"24,212","57,321",,"12,232,979",57.23%,52.35%
1984,North Carolina,NC,,2175361,4598151,0.9%,"16,371","52,600","3,892","46,563",,"4,510,205",,
1984,North Dakota,ND,324179,308971,486449,0.7%,432,0,0,432,,"482,612",67.17%,66.64%
1984,Ohio,OH,4664223,4547619,7836806,1.1%,"18,619",0,0,"18,619",,"7,731,982",60.32%,59.52%
1984,Oklahoma,OK,1290555,1255676,2373014,1.2%,"7,872","18,809","1,880","19,157",,"2,325,381",55.50%,54.38%
