ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1002125724518119,0,0,1,0,0,0,0,1,0
x_1002134081957604,0,0,0,1,1,0,0,0,0
x_1002139521546705,0,0,1,0,0,0,0,0,0
x_1002141488383895,0,0,0,1,0,0,0,1,1
x_1002145718330293,0,0,0,1,0,0,0,0,0
x_1002160388262615,0,0,0,0,0,0,0,1,1
x_1002163975255859,0,0,0,0,0,0,0,0,0
x_1002173961646887,1,0,0,0,0,0,0,0,0
x_1002184934923745,1,0,0,0,0,0,0,0,0
x_1002220091654415,1,0,0,0,0,0,0,0,0
x_1002221481571533,0,0,0,0,0,0,0,0,1
x_1002222808280613,0,1,0,0,0,0,0,0,0
x_1002226864926942,1,0,0,0,0,0,0,0,0
x_1002228054545719,0,0,0,0,0,0,0,0,0
x_1002233737768306,0,0,1,0,0,0,0,0,0
x_1002238374976045,0,0,0,1,0,0,0,0,0
x_1002241368359551,0,0,0,0,0,0,0,0,1
x_1002248648306532,0,0,0,0,0,0,0,1,1
x_1002260524973664,0,0,0,0,0,0,0,1,1
x_1002267918253376,0,0,0,1,0,0,0,1,0
x_1002268885036208,0,0,0,0,0,0,1,0,0
x_1002272664989344,0,0,0,1,0,0,0,0,1
x_1002285221701614,0,0,0,1,0,0,0,1,0
x_1002301335011621,0,0,0,1,0,0,0,0,0
x_1002316864999383,0,0,0,1,0,0,0,0,1
x_1002322374677105,0,0,0,0,0,0,0,0,0
x_1002325248314932,0,0,0,1,0,0,0,0,0
x_1002333531645161,0,0,0,1,0,0,0,0,0
x_1002335871648099,0,0,1,0,0,0,0,0,0
x_1002336681694449,0,0,0,1,0,0,0,0,0
x_1002343718581652,0,0,0,0,0,0,0,0,1
x_1002352994973061,1,0,0,0,0,0,0,0,0
x_1002357848316144,0,0,0,1,0,0,0,0,1
x_1002364028137637,0,1,0,0,0,0,1,0,0
x_1002367128328035,0,0,1,0,0,0,0,0,0
x_1002382860807730,0,0,0,0,0,0,0,1,0
x_1002394891291764,0,0,0,0,0,1,0,0,0
x_1002403584590956,0,0,1,0,0,0,0,0,0
x_1002449825053630,0,0,0,1,0,0,0,1,0
x_1002453898592003,0,0,0,0,0,0,0,1,1
x_1002456341344584,0,0,1,0,0,0,0,0,0
x_1002457134881197,0,0,0,0,1,0,0,0,0
x_1002470954955630,0,0,1,0,0,0,0,0,0
x_1002486828244792,0,1,0,0,0,0,0,1,1
x_1002498358302843,0,0,0,1,0,0,0,1,0
x_1002498961626733,0,0,0,0,0,0,0,0,0
x_1002500904960874,0,0,0,0,0,0,1,0,0
x_1002513064460267,0,0,0,0,0,0,1,0,0
x_1002524061627552,0,0,0,1,0,0,0,1,0
x_1002525951378360,0,0,0,1,0,0,0,0,0
x_1002534508061467,1,0,0,0,0,0,0,0,0
x_1002562581349089,0,0,1,0,0,0,0,1,1
x_1002567308339874,0,0,0,1,0,0,0,0,0
x_1002596461295950,0,0,0,0,0,0,0,0,1
x_1002628035000106,0,0,0,0,0,0,0,0,1
x_1002633297445457,0,0,1,0,0,0,0,0,0
x_1002633994962903,0,0,0,1,0,0,0,1,1
x_1002640004993566,0,0,0,1,0,0,0,0,0
x_1002650674741221,0,0,1,0,0,0,0,0,0
x_1002657275209677,0,0,0,0,0,0,0,0,1
x_1002661101149458,0,0,1,0,0,0,0,0,0
x_1002667658214174,1,0,0,0,0,0,0,0,0
x_1002667921533788,0,0,0,1,0,0,0,0,0
x_1002669547895558,0,0,0,0,0,0,0,0,0
x_1002673351665325,0,0,0,0,0,0,0,0,1
x_1002683921870841,1,0,0,0,0,0,0,0,0
x_1002698984864360,0,0,0,0,0,0,0,0,0
x_1002701158180706,0,0,0,0,0,0,0,0,0
x_1002746751160972,0,0,0,0,0,0,0,0,0
x_1002748478519244,0,0,1,0,0,0,0,1,0
x_1002754731862523,1,0,0,0,0,0,0,0,0
x_1002764698264334,0,1,0,0,0,0,1,0,0
x_1002784134868390,0,0,0,0,0,0,0,0,0
x_1002788478267831,0,0,0,0,0,0,0,0,1
x_1002802921161564,0,0,0,0,0,0,0,0,1
x_1002812621618784,0,0,0,0,1,0,0,0,0
x_1002822108294814,0,0,0,0,0,0,0,0,1
x_1002825364708414,0,0,0,1,0,0,0,0,0
x_1002831847656894,0,0,0,0,0,0,0,1,0
x_1002838458280604,0,1,0,0,0,0,0,1,1
x_1002842321150748,0,0,0,1,0,0,0,0,0
x_1002865364932132,0,0,0,1,0,0,0,1,0
x_1002883914705710,0,0,0,0,0,0,0,0,1
x_1002897651370863,0,0,1,0,0,0,0,0,0
x_1002898078304053,0,0,1,0,0,0,0,0,0
x_1002898358302468,1,0,0,0,0,0,0,0,0
x_1002906081636895,0,0,0,0,0,0,0,0,0
x_1002908508251920,0,0,0,1,0,0,0,0,1
x_1002908671863294,0,0,0,0,0,0,0,0,0
x_1002908734878779,0,0,0,0,0,0,0,0,0
x_1002915131534386,0,0,1,0,0,0,0,0,0
x_1002922401641942,0,0,0,0,0,0,0,0,0
x_1002931448044997,0,0,0,1,0,0,0,0,0
x_1002939248009168,0,0,0,1,0,0,0,0,0
x_1002943418230522,0,0,0,1,0,0,0,0,0
x_1002975978271739,0,0,0,0,0,0,0,1,1
x_1003003997436091,1,0,0,0,0,0,0,0,0
x_1003004238188900,1,0,0,0,0,0,0,0,0
x_1003006244822174,1,0,0,0,0,0,0,0,0
x_1003019758236341,0,0,0,0,0,0,0,1,1
x_1003044108172632,0,0,0,0,0,0,0,1,0
x_1003048108039468,0,0,0,0,0,0,0,1,1
x_1003071204494473,0,0,0,0,0,0,0,1,1
x_1003079794754469,1,0,0,0,0,0,0,0,0
x_1003106094948937,0,0,0,0,0,0,0,0,1
x_1003106368493972,0,0,0,0,0,0,0,1,1
x_1003132941100512,0,0,0,0,0,0,0,1,1
